''west coast: 133 -- east coast: 245 -- other: 327''

station_id,years_available,coast,latitude,longitude
41002,51,east,31.743,-74.955
41001,47,east,34.791,-72.42
44005,46,east,43.201,-69.127
45005,46,east,41.677,-82.398
45008,45,east,44.283,-82.416
44007,44,east,43.525,-70.14
44008,43,east,40.5,-69.254
DBLN6,43,east,42.493,-79.353    
SBIO1,43,east,41.629,-82.841
44009,42,east,38.46,-74.692
44013,42,east,42.346,-70.651
CLKN7,42,east,34.611,-76.528
IOSN3,42,east,42.967,-70.623
MDRM1,42,east,43.969,-68.128
MISM1,42,east,43.784,-68.855
44011,41,east,41.088,-66.546
44025,41,east,40.258,-73.175
SPGF1,41,east,26.704,-78.995
TPLM2,41,east,38.899,-76.436
FBIS1,40,east,32.685,-79.888
LKWF1,40,east,26.613,-80.034
SAUF1,40,east,29.857,-81.264
BUZM3,39,east,41.397,-71.033
VENF1,39,east,27.072,-82.453
41009,38,east,28.508,-80.185
41010,38,east,28.878,-78.467
41004,37,east,32.502,-79.099
44014,36,east,36.603,-74.837
41008,34,east,31.4,-80.866
CHLV2,33,east,36.905,-75.713
MLRF1,33,east,25.012,-80.376
44004,32,east,38.484,-70.433
FWYF1,32,east,25.591,-80.097
42036,31,east,28.5,-84.505
CDRF1,29,east,29.136,-83.029
KTNF1,29,east,29.819,-83.593
ALSN6,25,east,40.45,-73.8
FPSN7,25,east,33.485,-77.59
45012,24,east,43.621,-77.401
41013,23,east,33.441,-77.764
41025,23,east,35.026,-75.38
44027,23,east,44.284,-67.301
ACYN4,22,east,39.357,-74.418
BATN6,22,east,40.701,-74.014
BLTM3,22,east,41.704,-71.174
BRHC3,22,east,41.174,-73.181
BUFN6,22,east,42.878,-78.89
BZBM3,22,east,41.524,-70.671
CASM1,22,east,43.656,-70.246
CMAN4,22,east,38.968,-74.96
CPTR1,22,east,41.717,-71.345
FOXR1,22,east,41.807,-71.401
FRVM3,22,east,41.704,-71.164
FTGM4,22,east,43.007,-82.422
HRBM4,22,east,43.846,-82.643
KPTN6,22,east,40.811,-73.765
LWSD1,22,east,38.783,-75.119
MTKN6,22,east,41.048,-71.959
NWHC3,22,east,41.283,-72.908
NWPR1,22,east,41.504,-71.326
OSGN6,22,east,43.464,-76.511
PHBP1,22,east,39.933,-75.142
PSBM1,22,east,44.905,-66.983
PTCR1,22,east,41.638,-71.34
QPTR1,22,east,41.586,-71.407
RDYD1,22,east,39.558,-75.572
SDHN4,22,east,40.467,-74.009
SGOF1,22,east,29.408,-84.858
41024,21,east,33.837,-78.477
41029,21,east,32.803,-79.624
41033,21,east,32.279,-80.406
41037,21,east,33.988,-77.362
41038,21,east,34.141,-77.715
42013,21,east,27.173,-82.924
42023,21,east,26.01,-83.086
44017,21,east,40.693,-72.049
44018,21,east,42.203,-70.154
APCF1,21,east,29.724,-84.98
ARPF1,21,east,28.433,-82.667
BFTN7,21,east,34.717,-76.671
BGNN6,21,east,40.639,-74.146
BHBM3,21,east,42.355,-71.05
BLTM2,21,east,39.267,-76.579
CAMM2,21,east,38.574,-76.069
CHCM2,21,east,39.527,-75.81
CWBF1,21,east,27.978,-82.832
FMRF1,21,east,26.647,-81.871
FPKG1,21,east,32.035,-80.903
FRDF1,21,east,30.675,-81.465
FSKM2,21,east,39.219,-76.528
GSLM4,21,east,44.018,-83.537
KPTV2,21,east,37.165,-75.988
LDLC3,21,east,41.306,-72.077
LWTV2,21,east,37.995,-76.465
MNPV2,21,east,36.778,-76.302
MRHO1,21,east,41.544,-82.731
MROS1,21,east,33.656,-78.916
NTKM3,21,east,41.285,-70.096
ORIN7,21,east,35.796,-75.548
RPLV2,21,east,37.538,-76.014
SAPF1,21,east,27.761,-82.627
SHPF1,21,east,30.058,-84.291
SLIM2,21,east,38.321,-76.452
SWPV2,21,east,36.943,-76.329
TCBM2,21,east,39.213,-76.244
THLO1,21,east,41.826,-83.194
THRO1,21,east,41.694,-83.473
TRDF1,21,east,28.416,-80.593
WASD2,21,east,38.873,-77.021
YKTV2,21,east,37.227,-76.479
41112,20,east,30.709,-81.292
41113,20,east,28.4,-80.533
41114,20,east,27.552,-80.216
44022,20,east,40.883,-73.728
44039,20,east,41.138,-72.655
BDRN4,20,east,40.082,-74.87
BISM2,20,east,38.22,-76.039
CHYV2,20,east,36.926,-76.007
CNDO1,20,east,41.542,-81.637
COVM2,20,east,38.402,-76.385
CRYV2,20,east,36.888,-76.338
DELD1,20,east,39.582,-75.589
DOMV2,20,east,36.962,-76.424
DSLN7,20,east,35.153,-75.297
GLLN6,20,east,43.89,-76.45
JMPN7,20,east,34.213,-77.786
NBLP1,20,east,40.137,-74.752
NLNC3,20,east,41.361,-72.09
OPTF1,20,east,27.858,-82.553
PPTM2,20,east,38.134,-76.533
ROBN4,20,east,40.657,-74.065
SJSN4,20,east,39.305,-75.377
VAKF1,20,east,25.731,-80.162
WAHV2,20,east,37.608,-75.686
41047,19,east,27.557,-71.48
42022,19,east,27.505,-83.741
42099,19,east,27.352,-84.275
44040,19,east,40.956,-73.58
44042,19,east,38.033,-76.335
44056,19,east,36.2,-75.714
CLSM4,19,east,42.471,-82.877
FHPF1,19,east,28.153,-82.801
HHLO1,19,east,41.401,-82.545
LMFS1,19,east,34.107,-81.271
MYPF1,19,east,30.398,-81.428
OLCN6,19,east,43.341,-78.719
PMAF1,19,east,27.638,-82.562
RPRN6,19,east,43.263,-77.598
41110,18,east,34.142,-77.715
44041,18,east,37.211,-76.787
44058,18,east,37.567,-76.257
44065,18,east,40.368,-73.701
44098,18,east,42.8,-70.169
44099,18,east,36.915,-75.722
44100,18,east,36.258,-75.593
ALXN6,18,east,44.331,-75.934
BRND1,18,east,38.987,-75.113
CBLO1,18,east,41.981,-80.556
DUKN7,18,east,36.184,-75.746
GELO1,18,east,41.859,-80.975
NIAN6,18,east,43.077,-79.014
NPSF1,18,east,26.132,-81.807
OCIM2,18,east,38.328,-75.091
SBLM4,18,east,43.81,-83.72
SUPN6,18,east,44.467,-75.8
THIN6,18,east,44.3,-75.983
TPAF1,18,east,27.933,-82.433
WATS1,18,east,34.335,-80.702
WDSV2,18,east,36.977,-76.315
YKRV2,18,east,37.251,-76.342
41048,17,east,31.831,-69.573
44020,17,east,41.497,-70.283
44097,17,east,40.967,-71.124
ABAN6,17,east,44.333,-75.933
ATGM1,17,east,44.392,-68.204
BGCF1,17,east,26.404,-81.881
FAIO1,17,east,41.764,-81.281
MBRM4,17,east,42.975,-82.419
MRCP1,17,east,39.809,-75.415
PSCM4,17,east,43.42,-82.54
PSTN6,17,east,42.691,-79.048
RCRN6,17,east,43.269,-77.626
TSHF1,17,east,27.929,-82.426
YGNN6,17,east,43.262,-79.064
44062,16,east,38.556,-76.415
44063,16,east,38.963,-76.448
APAM2,16,east,38.983,-76.479
HCGN7,16,east,35.209,-75.704
OBGN6,16,east,44.702,-75.494
TAWM4,16,east,44.254,-83.449
41006,15,east,29.3,-77.4
44066,15,east,39.618,-72.644
CFWM1,15,east,44.657,-67.205
CHDS1,15,east,33.661,-82.199
WELM1,15,east,43.32,-70.563
44064,14,east,36.998,-76.087
44095,14,east,35.75,-75.33
45162,14,east,44.988,-83.269
45163,14,east,43.983,-83.599
AGCM4,14,east,42.621,-82.527
CHTS1,14,east,32.781,-79.924
MTBF1,14,east,27.661,-82.594
WLON7,14,east,34.228,-77.954
41012,13,east,30.042,-80.534
41108,13,east,33.721,-78.016
44043,13,east,39.152,-76.391
45164,13,east,41.748,-81.698
45165,13,east,41.702,-83.261
CBBV2,13,east,36.967,-76.114
DUCN7,13,east,36.184,-75.745
MCYF1,13,east,27.914,-82.425
SIPF1,13,east,27.862,-80.445
SSBN7,13,east,33.838,-78.484
44091,12,east,39.772,-73.769
BLIF1,12,east,30.393,-81.523
DMSF1,12,east,30.387,-81.559
LSCM4,12,east,42.465,-82.755
LTJF1,12,east,30.379,-81.446
SVLS1,12,east,31.95,-80.68
TARF1,12,east,28.156,-82.758
41064,11,east,34.207,-76.949
41159,11,east,34.211,-76.944
42098,11,east,27.59,-82.931
CPVM2,11,east,38.995,-76.388
EREP1,11,east,42.172,-80.098
FRXM3,11,east,41.696,-71.18
JXUF1,11,east,30.354,-81.612
MHRN6,11,east,40.641,-74.162
NCDV2,11,east,38.32,-77.037
NFDF1,11,east,30.4,-81.627
PVGF1,11,east,26.092,-80.109
41036,10,east,34.207,-76.949
42097,10,east,25.704,-83.654
44057,10,east,39.54,-76.074
44060,10,east,41.263,-72.067
44072,10,east,37.201,-76.266
44089,10,east,37.756,-75.325
44090,10,east,41.84,-70.329
45167,10,east,42.185,-80.135
45176,10,east,41.55,-81.765
BDSP1,10,east,39.98,-75.079
EGKF1,10,east,27.601,-82.759
NFBF1,10,east,25.084,-81.096
PRUR1,10,east,41.605,-71.304
PVDR1,10,east,41.786,-71.383
46001,54,other,56.296,-148.027
42002,53,other,25.95,-93.78
42001,51,other,25.926,-89.662
46002,48,other,42.56,-130.523
42003,47,other,25.925,-85.616
45001,47,other,48.061,-87.793
45002,47,other,45.344,-86.411
46006,47,other,40.73,-137.42
45003,46,other,45.351,-82.84
45004,46,other,47.585,-86.585
46005,46,other,46.143,-131.09
45006,45,other,47.335,-89.793
45007,45,other,42.674,-87.026
DISW3,43,other,47.079,-90.728
ROAM4,43,other,47.867,-89.315
SGNW3,43,other,43.749,-87.693
51003,42,other,19.143,-160.645
FFIA2,42,other,57.27,-133.631
PILM4,42,other,48.223,-88.366
PTAT2,42,other,27.826,-97.051
SRST2,42,other,29.683,-94.033
STDM4,42,other,47.184,-87.225
51002,41,other,17.07,-157.755
51004,41,other,17.504,-152.197
BURL1,41,other,28.906,-89.429
46035,40,other,57.034,-177.468
51001,40,other,24.475,-162.03
42019,36,other,27.908,-95.343
42020,36,other,26.97,-96.679
SMKF1,36,other,24.628,-81.109
DPIA1,35,other,30.25,-88.075
SANF1,35,other,24.456,-81.877
LONF1,34,other,24.844,-80.864
42035,33,other,29.235,-94.41
42040,31,other,29.207,-88.237
46060,31,other,60.571,-146.795
46061,31,other,60.23,-146.837
BLIA2,31,other,60.839,-146.884
POTA2,31,other,61.056,-146.697
42007,29,other,30.09,-88.769
42039,29,other,28.787,-86.007
MRKA2,29,other,61.081,-146.653
AUGA2,27,other,59.378,-153.348
PILA2,27,other,59.742,-149.47
46066,25,other,52.776,-154.992
46003,24,other,51.831,-155.85
46082,24,other,59.67,-143.353
46083,24,other,58.276,-138.024
46072,23,other,51.645,-172.145
46080,23,other,57.91,-150.129
46081,23,other,60.802,-148.283
46084,23,other,56.614,-136.04
AMAA2,23,other,58.916,-151.952
FILA2,23,other,59.331,-151.995
46075,22,other,53.969,-160.794
46078,22,other,55.561,-152.599
51201,22,other,21.671,-158.118
51202,22,other,21.414,-157.681
52200,22,other,13.354,144.788
CMTI2,22,other,41.73,-87.538
DTLM4,22,other,45.993,-83.898
DULM5,22,other,46.776,-92.092
GDIL1,22,other,29.267,-89.957
GDMM5,22,other,47.749,-90.341
LDTM4,22,other,43.947,-86.441
MCGM4,22,other,46.546,-87.379
PTIM4,22,other,46.485,-84.631
RCKM4,22,other,46.264,-84.191
SWPM4,22,other,46.501,-84.372
41040,21,other,14.536,-53.136
42055,21,other,22.14,-94.112
42056,21,other,19.82,-84.98
46076,21,other,59.508,-148.005
ADKA2,21,other,51.861,-176.637
ANTA2,21,other,61.238,-149.89
APNM4,21,other,45.06,-83.424
BABT2,21,other,27.297,-97.405
BYGL1,21,other,29.789,-90.42
CHAV3,21,other,18.335,-64.92
CHII2,21,other,41.916,-87.572
CSBF1,21,other,29.672,-85.357
DRFA2,21,other,60.553,-152.137
GISL1,21,other,29.265,-89.958
KLIH1,21,other,20.895,-156.469
KYWF1,21,other,24.556,-81.808
LTBV3,21,other,17.695,-64.754
MCYI3,21,other,41.729,-86.912
MGIP4,21,other,17.97,-67.046
MGPT2,21,other,29.682,-94.985
MLWW3,21,other,43.005,-87.884
NKTA2,21,other,60.683,-151.399
NMTA2,21,other,64.5,-165.43
NPDW3,21,other,45.291,-86.977
OOUH1,21,other,21.303,-157.865
PCLF1,21,other,30.404,-87.211
PCNT2,21,other,28.446,-96.396
PRDA2,21,other,70.4,-148.527
PTIT2,21,other,26.061,-97.215
RSJT2,21,other,26.801,-97.471
SJNP4,21,other,18.459,-66.116
SNDP5,21,other,28.215,-177.361
SVNM4,21,other,42.401,-86.288
VCAF1,21,other,24.711,-81.107
WAKP8,21,other,19.291,166.618
BHRI3,20,other,41.646,-87.147
BSBM4,20,other,44.055,-86.514
CAPL1,20,other,29.768,-93.343
CDEA2,20,other,56.001,-134.136
CSPA2,20,other,58.199,-136.64
EROA2,20,other,58.971,-135.221
FPTM4,20,other,45.619,-86.66
GTLM4,20,other,45.211,-85.55
KNSW3,20,other,42.589,-87.809
KWJP8,20,other,8.732,167.734
KWNW3,20,other,44.465,-87.496
LTRM4,20,other,46.486,-84.302
MKGM4,20,other,43.228,-86.339
MNMM4,20,other,45.096,-87.59
NABM4,20,other,46.087,-85.444
PNLM4,20,other,45.968,-85.869
PRTA2,20,other,58.411,-134.955
PSTL1,20,other,28.932,-89.407
PWAW3,20,other,43.388,-87.867
RDDA2,20,other,67.575,-164.067
SISA2,20,other,58.177,-135.259
SXHW3,20,other,46.563,-90.437
WHRI2,20,other,42.361,-87.813
41043,19,other,21.09,-64.864
41046,19,other,23.84,-68.34
42012,19,other,30.06,-87.548
42057,19,other,16.975,-81.578
42058,19,other,14.512,-75.153
42059,19,other,15.285,-67.567
46073,19,other,55.008,-172.012
46077,19,other,57.869,-154.211
BIGM4,19,other,46.827,-87.727
EPTT2,19,other,29.481,-94.917
GRMM4,19,other,46.684,-85.972
GTRM4,19,other,47.179,-88.241
