YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
74 01 01 00 200 00.2 99.0 99.00 99.00 99.00 999 1045.0  03.1 999.0 -00.4 99.0
74 01 01 03 341 00.4 99.0 99.00 99.00 99.00 999 1045.0  02.7 999.0 -00.7 99.0
74 01 01 06 216 01.4 99.0 99.00 99.00 99.00 999 1045.0  02.4 999.0 -01.2 99.0
74 01 01 09 294 00.5 99.0 99.00 99.00 99.00 999 1044.0  02.2 999.0 -01.7 99.0
74 01 01 12 278 00.2 99.0 99.00 99.00 99.00 999 1046.0  02.1 999.0 -01.9 99.0
74 01 01 15 201 02.8 99.0 99.00 99.00 99.00 999 1046.0  02.0 999.0 -02.1 99.0
74 01 01 18 176 02.2 99.0 99.00 99.00 99.00 999 1046.0  02.1 999.0 -02.6 99.0
74 01 01 21 130 02.6 99.0 99.00 99.00 99.00 999 1046.8  02.3 999.0 999.0 99.0
74 01 02 00 115 03.0 99.0 99.00 99.00 99.00 999 1047.0  01.5 999.0 -02.7 99.0
74 01 02 03 143 04.4 99.0 99.00 99.00 99.00 999 1047.0  01.4 999.0 -02.4 99.0
74 01 02 06 125 06.0 99.0 99.00 99.00 99.00 999 1047.0  01.2 999.0 -02.3 99.0
74 01 02 09 999 99.0 99.0 99.00 99.00 99.00 999 1047.0  01.4 999.0 -00.4 99.0
74 01 02 12 103 06.0 99.0 99.00 99.00 99.00 999 1046.0  01.1 999.0 -00.5 99.0
74 01 02 15 136 08.5 99.0 99.00 99.00 99.00 999 1044.0  01.3 999.0  00.6 99.0
74 01 02 18 140 08.4 99.0 99.00 99.00 99.00 999 1044.0  03.3 999.0  00.7 99.0
74 01 02 21 114 07.5 99.0 99.00 99.00 99.00 999 1044.0  03.8 999.0  01.6 99.0
74 01 03 00 171 07.0 99.0 99.00 99.00 99.00 999 1043.0  03.6 999.0  01.2 99.0
74 01 03 03 170 07.7 99.0 99.00 99.00 99.00 999 1043.0  03.6 999.0  01.4 99.0
74 01 03 06 070 06.8 99.0 99.00 99.00 99.00 999 1043.0  03.2 999.0  01.2 99.0
74 01 03 09 138 09.0 99.0 99.00 99.00 99.00 999 1044.0  03.2 999.0  01.0 99.0
74 01 03 12 185 07.7 99.0 99.00 99.00 99.00 999 1043.0  03.0 999.0  01.2 99.0
74 01 03 15 217 05.8 99.0 99.00 99.00 99.00 999 1042.0  03.0 999.0  01.0 99.0
74 01 03 18 158 07.0 99.0 99.00 99.00 99.00 999 1041.0  03.0 999.0  01.2 99.0
74 01 03 21 183 08.0 99.0 99.00 99.00 99.00 999 1041.0  03.3 999.0  01.1 99.0
74 01 04 00 197 08.4 99.0 99.00 99.00 99.00 999 1040.0  02.6 999.0  00.9 99.0
