YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 191  6.2  7.1  1.61  9.09  5.68 999 1024.3   4.3   5.1 999.0 99.0 99.00
2005 01 01 01 00 195  5.5  6.8  1.66 10.00  5.60 999 1024.5   4.3   5.1 999.0 99.0 99.00
2005 01 01 02 00 186  5.0  6.0  1.61 10.00  5.61 999 1024.2   4.4   5.1 999.0 99.0 99.00
2005 01 01 03 00 186  6.0  7.4  1.69  8.33  5.85 999 1024.7   3.9   5.1 999.0 99.0 99.00
2005 01 01 04 00 183  5.3  6.5  1.60  8.33  5.84 999 1024.7   3.6   5.1 999.0 99.0 99.00
2005 01 01 05 00 184  4.9  5.6  1.72  9.09  6.35 999 1025.0   4.3   5.1 999.0 99.0 99.00
2005 01 01 06 00 176  5.4  7.1  1.79  8.33  6.24 999 1025.1   4.3   5.1 999.0 99.0 99.00
2005 01 01 07 00 187  6.4  7.4  1.91  8.33  6.47 999 1025.1   4.4   5.1 999.0 99.0 99.00
2005 01 01 08 00 162  5.1  6.0  1.83  9.09  6.29 999 1025.1   4.3   5.1 999.0 99.0 99.00
2005 01 01 09 00 193  5.9  7.1  2.17  9.09  6.63 999 1025.2   4.7   5.1 999.0 99.0 99.00
2005 01 01 10 00 186  4.4  5.0  1.93  7.14  6.26 999 1025.0   4.7   5.1 999.0 99.0 99.00
2005 01 01 11 00 203  4.2  5.1  2.03  8.33  6.45 999 1025.2   4.7   5.1 999.0 99.0 99.00
2005 01 01 12 00 187  4.7  5.5  1.93  7.69  6.26 999 1025.7   4.7   5.1 999.0 99.0 99.00
2005 01 01 13 00 193  4.7  5.6  2.03  9.09  6.43 999 1026.0   4.7   5.1 999.0 99.0 99.00
2005 01 01 14 00 185  3.8  4.6  1.78  8.33  6.21 999 1026.3   4.8   5.1 999.0 99.0 99.00
2005 01 01 15 00 188  4.0  4.9  1.92  9.09  6.40 999 1026.0   4.4   5.1 999.0 99.0 99.00
2005 01 01 16 00 187  3.8  4.7  1.77  9.09  6.32 999 1026.5   4.4   5.1 999.0 99.0 99.00
2005 01 01 17 00 160  4.1  4.9  1.64  8.33  6.30 999 1025.7   4.4   5.1 999.0 99.0 99.00
2005 01 01 18 00 180  6.5  7.7  1.74  9.09  6.31 999 1025.8   4.7   5.1 999.0 99.0 99.00
2005 01 01 19 00 176  5.7  6.5  1.64  8.33  6.19 999 1026.6   4.8   5.1 999.0 99.0 99.00
2005 01 01 20 00 183  6.4  7.7  1.72  9.09  6.13 999 1027.0   5.1   5.1 999.0 99.0 99.00
2005 01 01 21 00 195  7.7  9.3  1.65  9.09  5.91 999 1027.2   4.4   5.1 999.0 99.0 99.00
2005 01 01 22 00 188  7.0  8.1  1.88  7.69  5.71 999 1026.8   4.3   5.1 999.0 99.0 99.00
2005 01 01 23 00 187  6.5  8.0  2.03  8.33  6.11 999 1026.7   4.7   5.1 999.0 99.0 99.00
2005 01 02 00 00 188  6.5  7.8  2.08 25.00  6.50 999 1026.7   4.8   5.1 999.0 99.0 99.00
2005 01 02 01 00 191  7.0  8.9  2.25 20.00  7.01 999 1026.6   5.1   5.1 999.0 99.0 99.00
2005 01 02 02 00 175  7.0  8.8  2.25 20.00  7.06 999 1026.0   4.8   5.1 999.0 99.0 99.00
2005 01 02 03 00 180  8.7 10.6  2.37 20.00  7.10 999 1025.6   4.7   5.1 999.0 99.0 99.00
2005 01 02 04 00 184  9.6 11.8  2.49 20.00  6.97 999 1025.1   4.7   5.1 999.0 99.0 99.00
2005 01 02 05 00 184  9.5 11.9  2.37 20.00  6.55 999 1025.4   4.8   5.1 999.0 99.0 99.00
2005 01 02 06 00 183  9.8 11.5  2.34 20.00  6.39 999 1025.2   5.1   5.1 999.0 99.0 99.00
2005 01 02 07 00 187 10.1 12.2  2.89 20.00  7.45 999 1025.2   5.1   5.1 999.0 99.0 99.00
2005 01 02 08 00 192  9.4 11.2  2.99 20.00  7.23 999 1025.2   5.2   5.1 999.0 99.0 99.00
2005 01 02 09 00 193  9.0 10.3  2.71 20.00  6.87 999 1025.5   5.5   5.1 999.0 99.0 99.00
