#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 999 99.0 99.0  3.40  8.33  6.41 999  991.0 999.0   4.9 999.0 99.0 99.00
2014 01 01 00 50 999 99.0 99.0  3.10  9.09  6.35 999  991.3 999.0   4.9 999.0 99.0 99.00
2014 01 01 01 50 999 99.0 99.0  3.28  9.09  6.57 999  991.6 999.0   4.9 999.0 99.0 99.00
2014 01 01 02 50 999 99.0 99.0  3.71  9.09  6.66 999  991.6 999.0   4.9 999.0 99.0 99.00
2014 01 01 03 50 999 99.0 99.0  3.21  9.09  6.53 999  991.6 999.0   4.9 999.0 99.0 99.00
2014 01 01 04 50 999 99.0 99.0  3.76  9.09  6.78 999  991.3 999.0   4.9 999.0 99.0 99.00
2014 01 01 05 50 999 99.0 99.0  3.31  8.33  6.17 999  991.0 999.0   4.9 999.0 99.0 99.00
2014 01 01 06 50 999 99.0 99.0  3.87  9.09  6.43 999  991.2 999.0   4.9 999.0 99.0 99.00
2014 01 01 07 50 999 99.0 99.0  4.31 10.00  6.81 999  991.2 999.0   4.9 999.0 99.0 99.00
2014 01 01 08 50 999 99.0 99.0  4.32 10.00  6.80 999  991.4 999.0   4.9 999.0 99.0 99.00
2014 01 01 09 50 999 99.0 99.0  4.36 10.00  6.84 999  991.3 999.0   4.9 999.0 99.0 99.00
2014 01 01 10 50 999 99.0 99.0  5.40 10.81  7.89 999  991.4 999.0   4.9 999.0 99.0 99.00
2014 01 01 11 50 999 99.0 99.0  5.97 12.12  8.30 999  991.8 999.0   4.9 999.0 99.0 99.00
2014 01 01 12 50 999 99.0 99.0  6.35 13.79  8.60 999  992.0 999.0   4.9 999.0 99.0 99.00
2014 01 01 13 50 999 99.0 99.0  6.00 12.90  8.36 999  992.4 999.0   4.9 999.0 99.0 99.00
2014 01 01 14 50 999 99.0 99.0  6.57 13.79  9.08 999  992.7 999.0   4.9 999.0 99.0 99.00
2014 01 01 15 50 999 99.0 99.0  6.00 13.79  8.47 999  993.3 999.0   4.9 999.0 99.0 99.00
2014 01 01 16 50 999 99.0 99.0  5.89 13.79  8.36 999  993.8 999.0   4.9 999.0 99.0 99.00
2014 01 01 17 50 999 99.0 99.0  6.32 12.90  8.65 999  994.8 999.0   4.9 999.0 99.0 99.00
2014 01 01 18 50 999 99.0 99.0  6.69 11.43  8.70 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 01 19 50 999 99.0 99.0 99.00 99.00 99.00 999  997.1 999.0   4.9 999.0 99.0 99.00
2014 01 01 20 50 999 99.0 99.0  6.29 12.12  8.60 999  997.9 999.0   4.9 999.0 99.0 99.00
2014 01 01 21 50 999 99.0 99.0  6.80 13.79  8.80 999  998.6 999.0   4.9 999.0 99.0 99.00
2014 01 01 22 50 999 99.0 99.0  6.25 13.79  8.47 999  999.2 999.0   4.9 999.0 99.0 99.00
2014 01 01 23 50 999 99.0 99.0  5.95 13.79  8.51 999  999.5 999.0   4.9 999.0 99.0 99.00
2014 01 02 00 50 999 99.0 99.0  6.34 10.81  8.78 999 1000.3 999.0   4.9 999.0 99.0 99.00
2014 01 02 01 50 999 99.0 99.0  4.99 12.90  8.08 999 1001.2 999.0   4.9 999.0 99.0 99.00
2014 01 02 02 50 999 99.0 99.0  5.69 12.90  8.56 999 1001.6 999.0   4.9 999.0 99.0 99.00
2014 01 02 03 50 999 99.0 99.0  4.61 12.90  7.90 999 1002.3 999.0   4.9 999.0 99.0 99.00
2014 01 02 04 50 999 99.0 99.0  5.40 13.79  8.64 999 1003.1 999.0   4.9 999.0 99.0 99.00
2014 01 02 05 50 999 99.0 99.0  4.99 13.79  8.39 999 1003.5 999.0   4.9 999.0 99.0 99.00
2014 01 02 06 50 999 99.0 99.0  4.16 10.81  7.67 999 1004.5 999.0   4.9 999.0 99.0 99.00
2014 01 02 07 50 999 99.0 99.0  4.23 12.90  7.55 999 1005.0 999.0   4.9 999.0 99.0 99.00
2014 01 02 08 50 999 99.0 99.0  4.18 10.00  7.42 999 1005.4 999.0   4.9 999.0 99.0 99.00
2014 01 02 09 50 999 99.0 99.0  4.41 12.12  7.82 999 1006.0 999.0   4.9 999.0 99.0 99.00
2014 01 02 10 50 999 99.0 99.0  3.98 12.12  7.12 999 1006.3 999.0   4.9 999.0 99.0 99.00
2014 01 02 11 50 999 99.0 99.0  3.80 11.43  6.92 999 1006.9 999.0   4.9 999.0 99.0 99.00
2014 01 02 12 50 999 99.0 99.0  3.94 12.12  7.00 999 1007.3 999.0   4.9 999.0 99.0 99.00
2014 01 02 13 50 999 99.0 99.0  3.84  7.69  6.76 999 1007.9 999.0   4.9 999.0 99.0 99.00
2014 01 02 14 50 999 99.0 99.0  4.14  9.09  6.87 999 1008.8 999.0   4.9 999.0 99.0 99.00
2014 01 02 15 50 999 99.0 99.0  4.07  9.09  6.85 999 1009.5 999.0   4.9 999.0 99.0 99.00
2014 01 02 16 50 999 99.0 99.0  4.31 10.00  7.31 999 1010.4 999.0   4.9 999.0 99.0 99.00
2014 01 02 17 50 999 99.0 99.0  4.17 10.00  7.30 999 1011.5 999.0   4.9 999.0 99.0 99.00
2014 01 02 18 50 999 99.0 99.0  3.83 10.81  7.09 999 1013.0 999.0   4.9 999.0 99.0 99.00
2014 01 02 19 50 999 99.0 99.0  3.85 10.00  7.45 999 1014.2 999.0   4.9 999.0 99.0 99.00
2014 01 02 20 50 999 99.0 99.0  3.51 10.00  6.90 999 1015.2 999.0   4.9 999.0 99.0 99.00
2014 01 02 21 50 999 99.0 99.0  3.46 10.81  6.83 999 1015.6 999.0   4.9 999.0 99.0 99.00
2014 01 02 22 50 999 99.0 99.0  3.37 10.00  6.81 999 1016.3 999.0   4.9 999.0 99.0 99.00
2014 01 02 23 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.8 999.0   4.9 999.0 99.0 99.00
2014 01 03 00 50 999 99.0 99.0  2.78  8.33  6.18 999 1017.9 999.0   4.9 999.0 99.0 99.00
2014 01 03 01 50 999 99.0 99.0  3.03  9.09  6.46 999 1018.8 999.0   4.9 999.0 99.0 99.00
2014 01 03 02 50 999 99.0 99.0  3.01 10.00  6.38 999 1019.8 999.0   4.9 999.0 99.0 99.00
2014 01 03 03 50 999 99.0 99.0  2.83 10.81  6.34 999 1020.7 999.0   4.9 999.0 99.0 99.00
2014 01 03 04 50 999 99.0 99.0  2.68 10.00  6.33 999 1021.6 999.0   4.9 999.0 99.0 99.00
2014 01 03 05 50 999 99.0 99.0  2.82 10.81  6.45 999 1022.3 999.0   4.9 999.0 99.0 99.00
2014 01 03 06 50 999 99.0 99.0  2.93 10.81  6.57 999 1023.0 999.0   4.9 999.0 99.0 99.00
2014 01 03 07 50 999 99.0 99.0  3.10 10.81  6.92 999 1023.0 999.0   4.9 999.0 99.0 99.00
2014 01 03 08 50 999 99.0 99.0  2.71  6.67  6.62 999 1023.6 999.0   4.9 999.0 99.0 99.00
2014 01 03 09 50 999 99.0 99.0  2.71  7.69  6.66 999 1024.1 999.0   4.9 999.0 99.0 99.00
2014 01 03 10 50 999 99.0 99.0  2.71  9.09  6.61 999 1024.5 999.0   4.9 999.0 99.0 99.00
2014 01 03 11 50 999 99.0 99.0  2.36 10.00  6.39 999 1024.7 999.0   4.9 999.0 99.0 99.00
2014 01 03 12 50 999 99.0 99.0  2.36 10.81  6.35 999 1025.0 999.0   4.9 999.0 99.0 99.00
2014 01 03 13 50 999 99.0 99.0  2.21  8.33  6.35 999 1024.9 999.0   4.9 999.0 99.0 99.00
2014 01 03 14 50 999 99.0 99.0  2.09 10.81  6.49 999 1025.3 999.0   4.9 999.0 99.0 99.00
2014 01 03 15 50 999 99.0 99.0  1.86 10.81  6.38 999 1025.7 999.0   4.9 999.0 99.0 99.00
2014 01 03 16 50 999 99.0 99.0  1.89 10.81  6.51 999 1025.7 999.0   4.9 999.0 99.0 99.00
2014 01 03 17 50 999 99.0 99.0  2.11 10.81  7.18 999 1025.7 999.0   4.9 999.0 99.0 99.00
2014 01 03 18 50 999 99.0 99.0  2.14 10.81  7.23 999 1026.1 999.0   4.9 999.0 99.0 99.00
2014 01 03 19 50 999 99.0 99.0  2.07 10.00  7.07 999 1026.1 999.0   4.9 999.0 99.0 99.00
2014 01 03 20 50 999 99.0 99.0  1.88 10.81  6.79 999 1025.9 999.0   4.9 999.0 99.0 99.00
2014 01 03 21 50 999 99.0 99.0  2.18  9.09  7.23 999 1025.1 999.0   4.9 999.0 99.0 99.00
2014 01 03 22 50 999 99.0 99.0  1.65 10.81  5.94 999 1024.1 999.0   4.9 999.0 99.0 99.00
2014 01 03 23 50 999 99.0 99.0 99.00 99.00 99.00 999 1022.9 999.0   4.9 999.0 99.0 99.00
2014 01 04 00 50 999 99.0 99.0  1.81 14.81  5.32 999 1022.2 999.0   4.9 999.0 99.0 99.00
2014 01 04 01 50 999 99.0 99.0  1.99 16.00  5.42 999 1021.1 999.0   4.9 999.0 99.0 99.00
2014 01 04 02 50 999 99.0 99.0  1.90 14.81  5.02 999 1020.7 999.0   4.9 999.0 99.0 99.00
2014 01 04 03 50 999 99.0 99.0  2.13 13.79  5.17 999 1020.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 04 50 999 99.0 99.0  1.91 12.12  4.83 999 1018.5 999.0   4.9 999.0 99.0 99.00
2014 01 04 05 50 999 99.0 99.0 99.00 99.00 99.00 999 1016.8 999.0   4.9 999.0 99.0 99.00
2014 01 04 06 50 999 99.0 99.0  3.12  6.67  5.58 999 1016.2 999.0   4.9 999.0 99.0 99.00
2014 01 04 07 50 999 99.0 99.0 99.00 99.00 99.00 999 1015.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 08 50 999 99.0 99.0  3.67  7.69  5.72 999 1013.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 09 50 999 99.0 99.0  3.72  7.69  5.88 999 1010.6 999.0   4.9 999.0 99.0 99.00
2014 01 04 10 50 999 99.0 99.0  4.54  9.09  6.54 999 1009.4 999.0   4.9 999.0 99.0 99.00
2014 01 04 12 50 999 99.0 99.0 99.00 99.00 99.00 999 1005.2 999.0   4.9 999.0 99.0 99.00
2014 01 04 13 50 999 99.0 99.0  6.31  9.09  7.89 999 1003.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1001.3 999.0   4.9 999.0 99.0 99.00
2014 01 04 15 50 999 99.0 99.0  5.94 11.43  7.83 999 1000.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 16 50 999 99.0 99.0  5.59 12.90  7.95 999  998.9 999.0   4.9 999.0 99.0 99.00
2014 01 04 17 50 999 99.0 99.0  6.06 12.90  8.34 999  999.0 999.0   4.9 999.0 99.0 99.00
2014 01 04 18 50 999 99.0 99.0  6.11 12.90  8.22 999  999.2 999.0   4.9 999.0 99.0 99.00
2014 01 04 19 50 999 99.0 99.0  5.69 12.90  8.02 999  999.2 999.0   4.9 999.0 99.0 99.00
2014 01 04 20 50 999 99.0 99.0  5.56 12.12  8.25 999  998.7 999.0   4.9 999.0 99.0 99.00
2014 01 04 21 50 999 99.0 99.0 99.00 99.00 99.00 999  997.6 999.0   4.9 999.0 99.0 99.00
2014 01 04 22 50 999 99.0 99.0 99.00 99.00 99.00 999  996.6 999.0   4.9 999.0 99.0 99.00
2014 01 04 23 50 999 99.0 99.0  5.06 11.43  8.38 999  996.3 999.0   4.9 999.0 99.0 99.00
2014 01 05 00 50 999 99.0 99.0  5.24 12.12  8.51 999  996.0 999.0   4.9 999.0 99.0 99.00
2014 01 05 01 50 999 99.0 99.0  5.07 12.12  8.20 999  995.7 999.0   4.9 999.0 99.0 99.00
2014 01 05 02 50 999 99.0 99.0  5.40 12.90  8.41 999  995.6 999.0   4.9 999.0 99.0 99.00
2014 01 05 03 50 999 99.0 99.0  4.57 12.90  7.59 999  995.2 999.0   4.9 999.0 99.0 99.00
2014 01 05 04 50 999 99.0 99.0  4.91 12.90  7.83 999  995.1 999.0   4.9 999.0 99.0 99.00
2014 01 05 05 50 999 99.0 99.0  4.78 12.12  7.77 999  995.1 999.0   4.9 999.0 99.0 99.00
2014 01 05 06 50 999 99.0 99.0  4.82 11.43  7.35 999  995.9 999.0   4.9 999.0 99.0 99.00
2014 01 05 07 50 999 99.0 99.0  5.05 12.90  7.74 999  997.2 999.0   4.9 999.0 99.0 99.00
2014 01 05 08 50 999 99.0 99.0  4.88 12.12  7.76 999  998.1 999.0   4.9 999.0 99.0 99.00
2014 01 05 09 50 999 99.0 99.0  4.70 10.81  7.68 999  998.6 999.0   4.9 999.0 99.0 99.00
2014 01 05 10 50 999 99.0 99.0  4.38 12.90  7.82 999  999.2 999.0   4.9 999.0 99.0 99.00
2014 01 05 11 50 999 99.0 99.0  4.55 12.90  8.17 999  999.7 999.0   4.9 999.0 99.0 99.00
2014 01 05 12 50 999 99.0 99.0  4.89 12.12  8.38 999 1000.5 999.0   4.9 999.0 99.0 99.00
2014 01 05 13 50 999 99.0 99.0  4.79 12.12  8.51 999 1001.2 999.0   4.9 999.0 99.0 99.00
2014 01 05 14 50 999 99.0 99.0  4.48 12.12  8.40 999 1001.6 999.0   4.9 999.0 99.0 99.00
2014 01 05 15 50 999 99.0 99.0  4.58 11.43  8.15 999 1002.3 999.0   4.9 999.0 99.0 99.00
2014 01 05 16 50 999 99.0 99.0  4.57 12.12  8.14 999 1003.0 999.0   4.9 999.0 99.0 99.00
2014 01 05 17 50 999 99.0 99.0  4.13 12.12  7.86 999 1004.1 999.0   4.9 999.0 99.0 99.00
2014 01 05 18 50 999 99.0 99.0  4.01 10.81  7.64 999 1005.4 999.0   4.9 999.0 99.0 99.00
2014 01 05 19 50 999 99.0 99.0  4.01 12.12  8.15 999 1006.1 999.0   4.9 999.0 99.0 99.00
2014 01 05 20 50 999 99.0 99.0  3.73 11.43  7.83 999 1006.5 999.0   4.9 999.0 99.0 99.00
2014 01 05 21 50 999 99.0 99.0  3.99 12.12  8.20 999 1006.5 999.0   4.9 999.0 99.0 99.00
2014 01 05 22 50 999 99.0 99.0  3.63 12.12  7.92 999 1006.5 999.0   4.9 999.0 99.0 99.00
